epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/si_re,train/total_loss,train/total_loss_smma
,,0.001,0,,,,,,,
0,,,60,0.48480120301246643,0.009122678078711033,0.17966894805431366,0.004316198639571667,0.8322456479072571,0.19310779869556427,
,,0.001,61,,,,,,,
1,,,121,0.4450140595436096,0.006024688947945833,0.00043306121369823813,0.0010600521927699447,0.5357213020324707,0.0075178020633757114,
,,0.001,122,,,,,,,
2,,,182,0.41730988025665283,0.00829821452498436,0.00014525605365633965,0.0008177891140803695,0.35202208161354065,0.009261260740458965,
,,0.001,183,,,,,,,
3,,,243,0.3878464102745056,0.00640048598870635,3.517791992635466e-05,0.00041461389628238976,0.44492900371551514,0.006850277539342642,
,,0.001,244,,,,,,,
4,,,304,0.36814916133880615,0.007785344496369362,9.403190779266879e-05,0.00033589842496439815,0.6406497359275818,0.008215272799134254,
,,0.001,305,,,,,,,
5,,,365,0.35215675830841064,0.007284858264029026,5.705919102183543e-05,9.227859845850617e-05,0.427353173494339,0.007434194907546043,
,,0.001,366,,,,,,,
6,,,426,0.34191054105758667,0.007350950036197901,3.145383016089909e-05,0.00025788170751184225,0.5332414507865906,0.007640285417437553,
,,0.001,427,,,,,,,
7,,,487,0.3353210687637329,0.006464452017098665,8.680918654135894e-06,0.00020372236031107605,0.4620096683502197,0.006676855031400919,
,,0.001,488,,,,,,,
8,,,548,0.3186168372631073,0.0050438265316188335,4.8774345486890525e-05,0.0007044811500236392,0.6025368571281433,0.005797082092612982,
,,0.001,549,,,,,,,
9,,,609,0.3079781234264374,0.007302094716578722,3.3349086152156815e-05,0.00011618545249802992,0.5240721702575684,0.007451629266142845,
,,0.001,610,,,,,,,
10,,,670,0.2969174385070801,0.006927442736923695,0.0006300255190581083,0.00011943205026909709,0.4778588116168976,0.007676900830119848,
,,0.001,671,,,,,,,
11,,,731,0.2876678705215454,0.007552932016551495,0.00014955353981349617,0.00019432925910223275,0.43599680066108704,0.007896813564002514,
,,0.001,732,,,,,,,
12,,,792,0.26834654808044434,0.005359356757253408,0.0002332507137907669,0.00021972102695144713,0.4964704215526581,0.0058123283088207245,
,,0.001,793,,,,,,,
13,,,853,0.2600342631340027,0.004687837790697813,6.846564065199345e-05,0.00010022678907262161,0.5240858197212219,0.004856531508266926,
,,0.001,854,,,,,,,
14,,,914,0.2476436346769333,0.0049808877520263195,0.0001417597522959113,0.00013752425729762763,0.41787052154541016,0.00526017090305686,
,,0.001,915,,,,,,,
15,,,975,0.24258513748645782,0.004377317614853382,0.00025485584046691656,0.00024136915453709662,0.47746989130973816,0.004873543046414852,
,,0.001,976,,,,,,,
16,,,1036,0.23643644154071808,0.0042779636569321156,3.768841997953132e-05,0.0002923481515608728,0.5124834775924683,0.0046080006286501884,
,,0.001,1037,,,,,,,
17,,,1097,0.2283405065536499,0.0031621605157852173,0.00023861908994149417,8.090901974355802e-05,0.3973097503185272,0.003481688443571329,
,,0.001,1098,,,,,,,
18,,,1158,0.21963267028331757,0.0038373360875993967,0.0005940822884440422,0.00010821556497830898,0.4470902979373932,0.004539633169770241,
,,0.001,1159,,,,,,,
19,,,1219,0.21461006999015808,0.0019913979340344667,0.00013275504170451313,0.0002349211717955768,0.42086830735206604,0.0023590740747749805,
,,0.001,1220,,,,,,,
20,,,1280,0.20631833374500275,0.002061777515336871,0.000738489325158298,0.0003014715330209583,0.44330745935440063,0.0031017386354506016,
,,0.001,1281,,,,,,,
21,,,1341,0.20241256058216095,0.002638798439875245,5.797400444862433e-05,0.0001574679627083242,0.5710471272468567,0.002854238962754607,
,,0.001,1342,,,,,,,
22,,,1402,0.1993480920791626,0.002564904047176242,4.526699194684625e-05,0.00018848749459721148,0.48214027285575867,0.0027986580971628428,
,,0.001,1403,,,,,,,
23,,,1463,0.1983335316181183,0.003906541038304567,0.0002685679937712848,4.92158651468344e-05,0.5118165612220764,0.004224324598908424,
,,0.001,1464,,,,,,,
24,,,1524,0.197511225938797,0.0014745747903361917,6.569691322511062e-05,5.859842713107355e-05,0.5131801962852478,0.0015988697996363044,
,,0.001,1525,,,,,,,
25,,,1585,0.19346684217453003,0.002153250388801098,0.00010071464930661023,7.93521903688088e-05,0.5594726204872131,0.002333316719159484,
,,0.001,1586,,,,,,,
26,,,1646,0.1967172473669052,0.01892835460603237,0.00030659796902909875,0.0002831673191394657,0.4234681725502014,0.01951812207698822,
,,0.001,1647,,,,,,,
27,,,1707,0.19970379769802094,0.006272206548601389,2.4625996957183816e-05,6.971322000026703e-05,0.4956662952899933,0.006366546731442213,
,,0.001,1708,,,,,,,
28,,,1768,0.20291286706924438,0.008724154904484749,5.729991244152188e-06,3.0929393687983975e-05,0.563763439655304,0.008760813623666763,
,,0.001,1769,,,,,,,
29,,,1829,0.20124632120132446,0.007291346788406372,3.0679227620566962e-06,5.999735003570095e-05,0.6677084565162659,0.007354412693530321,
,,0.001,1830,,,,,,,
30,,,1890,0.19298155605793,0.008823942393064499,0.0008356852922588587,0.0001615768560441211,0.6401298642158508,0.009821206331253052,
,,0.001,1891,,,,,,,
31,,,1951,0.19547779858112335,0.006782723590731621,9.48081724345684e-05,3.3189433452207595e-05,0.5758576989173889,0.006910719443112612,
,,0.001,1952,,,,,,,
32,,,2012,0.19222809374332428,0.0039749122224748135,0.0002868794254027307,6.432965892599896e-05,0.5854821801185608,0.004326120018959045,
,,0.001,2013,,,,,,,
