,beta
319,2.940785e-01
320,2.940780e-01
321,2.940775e-01
322,2.940769e-01
323,2.940764e-01
324,2.940759e-01
325,2.940753e-01
326,2.940748e-01
327,2.940742e-01
328,2.940736e-01
329,2.940730e-01
330,2.940724e-01
331,2.940718e-01
332,2.940713e-01
333,2.940707e-01
334,2.940701e-01
335,2.940695e-01
336,2.940688e-01
337,2.940682e-01
338,2.940676e-01
339,2.940669e-01
340,2.940663e-01
341,2.940656e-01
342,2.940649e-01
343,2.940642e-01
344,2.940634e-01
345,2.940627e-01
346,2.940619e-01
347,2.940611e-01
348,2.940603e-01
349,2.940595e-01
350,2.940587e-01
351,2.940578e-01
352,2.940569e-01
353,2.940559e-01
354,2.940550e-01
355,2.940540e-01
356,2.940530e-01
357,2.940520e-01
358,2.940510e-01
359,2.940499e-01
360,2.940488e-01
361,2.940477e-01
362,2.940466e-01
363,2.940455e-01
364,2.940443e-01
365,2.940431e-01
366,2.940419e-01
367,2.940406e-01
368,2.940392e-01
369,2.940378e-01
370,2.940364e-01
371,2.940349e-01
372,2.940334e-01
373,2.940318e-01
374,2.940302e-01
375,2.940285e-01
376,2.940267e-01
377,2.940248e-01
378,2.940229e-01
379,2.940209e-01
380,2.940189e-01
381,2.940167e-01
382,2.940146e-01
383,2.940123e-01
384,2.940100e-01
385,2.940075e-01
386,2.940050e-01
387,2.940023e-01
388,2.939995e-01
389,2.939966e-01
390,2.939936e-01
391,2.939905e-01
392,2.939873e-01
393,2.939839e-01
394,2.939804e-01
395,2.939766e-01
396,2.939727e-01
397,2.939686e-01
398,2.939643e-01
399,2.939598e-01
400,2.939550e-01
401,2.939501e-01
402,2.939449e-01
403,2.939394e-01
404,2.939337e-01
405,2.939276e-01
406,2.939211e-01
407,2.939142e-01
408,2.939069e-01
409,2.938991e-01
410,2.938909e-01
411,2.938822e-01
412,2.938730e-01
413,2.938633e-01
414,2.938531e-01
415,2.938422e-01
416,2.938306e-01
417,2.938184e-01
418,2.938054e-01
419,2.937917e-01
420,2.937773e-01
421,2.937621e-01
422,2.937462e-01
423,2.937297e-01
424,2.937126e-01
