epoch,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/si_re,train/total_loss
,0.001,1464,,,,,,
24,,1524,0.19528326392173767,0.00990403350442648,9.085434840017115e-07,8.679160237079486e-05,0.6273580193519592,0.009991735219955444
,0.001,1525,,,,,,
25,,1585,0.18026971817016602,0.007767990697175264,0.00016886056982912123,2.9570237529696897e-05,0.6462504267692566,0.007966423407196999
,0.001,1586,,,,,,
26,,1646,0.18267184495925903,0.007242612075060606,0.00030053628142923117,6.72195601509884e-05,0.5784499645233154,0.007610367611050606
,0.001,1647,,,,,,
27,,1707,0.18761557340621948,0.007861454039812088,0.0007822030456736684,0.00016584918193984777,0.563967227935791,0.008809505961835384
,0.001,1708,,,,,,
28,,1768,0.18990063667297363,0.007330264430493116,0.0005931009654887021,0.00016204039275180548,0.5176165699958801,0.008085404522716999
,0.001,1769,,,,,,
29,,1829,0.1958683431148529,0.006781860254704952,4.5231143303681165e-05,0.00011928447929676622,0.6453742980957031,0.00694637605920434
,0.001,1830,,,,,,
30,,1890,0.2010098099708557,0.007123107090592384,3.154574005748145e-05,0.0002651166869327426,0.6879048943519592,0.007419769652187824
,0.001,1891,,,,,,
31,,1951,0.1949874311685562,0.007449551951140165,0.00040689390152692795,0.00016217351367231458,0.5586099624633789,0.008018621243536472
,0.001,1952,,,,,,
32,,2012,0.1904483437538147,0.006290644872933626,0.00017504769493825734,6.508771184599027e-05,0.5860661864280701,0.006530781742185354
,0.001,2013,,,,,,
33,,2073,0.18777123093605042,0.007747379131615162,5.939517450315179e-06,5.725848677684553e-05,0.6143769025802612,0.007810575421899557
,0.001,2074,,,,,,
34,,2134,0.1839209645986557,0.00618791626766324,8.75895784702152e-06,1.7904214473674074e-05,0.7263359427452087,0.006214578170329332
,0.001,2135,,,,,,
35,,2195,0.18587534129619598,0.00815954152494669,6.329431130325247e-07,5.749095362261869e-05,0.7254675626754761,0.008217664435505867
,0.001,2196,,,,,,
36,,2256,0.18480902910232544,0.007856612093746662,2.328279606444994e-06,9.646043326938525e-05,0.463127464056015,0.007955402135848999
,0.001,2257,,,,,,
37,,2317,0.19575338065624237,0.007574492134153843,3.2708828712202376e-06,0.00012785228318534791,0.6547584533691406,0.00770561583340168
,0.001,2318,,,,,,
38,,2378,0.20110155642032623,0.00776281114667654,1.6830275853862986e-05,4.8506790335522965e-05,0.7321348190307617,0.00782814808189869
,0.001,2379,,,,,,
39,,2439,0.20095552504062653,0.00657516298815608,0.00012966443318873644,2.0224380932631902e-05,0.7478473782539368,0.006725050043314695
,0.001,2440,,,,,,
40,,2500,0.19887728989124298,0.005842910148203373,7.836329132260289e-06,2.182271782658063e-05,0.6809948086738586,0.0058725690469145775
