epoch,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss
,0.0005,0,,,,,
0,,23,0.49501240253448486,0.1517762392759323,0.17766767740249634,0.10493900626897812,1.324094533920288
,0.0005,24,,,,,
1,,47,0.486087828874588,0.009911192581057549,0.05681591108441353,0.01037371065467596,0.1839352250099182
,0.0005,48,,,,,
2,,71,0.47852012515068054,0.0081581249833107,0.007479941006749868,0.000908007612451911,0.05756653472781181
,0.0005,72,,,,,
3,,95,0.4757947325706482,0.010771309956908226,0.0019014178542420268,0.00017740970361046493,0.05801420658826828
,0.0005,96,,,,,
4,,119,0.4746663272380829,0.008069273084402084,0.0012004522141069174,0.00017750036204233766,0.043102264404296875
,0.0005,120,,,,,
5,,143,0.4736325740814209,0.0067411912605166435,0.00078917748760432,0.00018104407354258,0.03564639389514923
,0.0005,144,,,,,
6,,167,0.4729403555393219,0.006880029104650021,0.0006044198526069522,0.00013743781892117113,0.035883866250514984
,0.0005,168,,,,,
7,,191,0.4720888137817383,0.007291168440133333,0.0004616450169123709,0.00010801538883242756,0.03759516030550003
,0.0005,192,,,,,
8,,215,0.4713841676712036,0.007327054161578417,0.0003663392853923142,0.00010523590754019096,0.03757842630147934
,0.0005,216,,,,,
9,,239,0.4706588685512543,0.008778958581387997,0.000307438982417807,9.491101081948727e-05,0.04469949007034302
,0.0005,240,,,,,
10,,263,0.4699961841106415,0.006961559411138296,0.0002496351662557572,7.696208922425285e-05,0.03546099364757538
,0.0005,264,,,,,
11,,287,0.46942493319511414,0.006648330949246883,0.00021805817959830165,7.616984657943249e-05,0.03383011370897293
,0.0005,288,,,,,
12,,311,0.46889016032218933,0.007274582516402006,0.00017744340584613383,5.675932698068209e-05,0.03684132173657417
,0.0005,312,,,,,
13,,335,0.4684135615825653,0.00685954699292779,0.00014997657854110003,5.319742558640428e-05,0.03470408543944359
,0.0005,336,,,,,
14,,359,0.467909038066864,0.0073578497394919395,0.00014090091281104833,7.71583363530226e-05,0.03722536191344261
,0.0005,360,,,,,
15,,383,0.4674580991268158,0.006265389267355204,0.00012272072490304708,4.935494143865071e-05,0.03167109563946724
,0.0005,384,,,,,
16,,407,0.4670124053955078,0.007369463797658682,0.00010982199455611408,3.769406248466112e-05,0.037142351269721985
,0.0005,408,,,,,
17,,431,0.4666365087032318,0.00596346240490675,9.795608639251441e-05,4.024392910650931e-05,0.030093714594841003
,0.0005,432,,,,,
18,,455,0.4662281572818756,0.006848501972854137,8.630828961031511e-05,3.8630550989182666e-05,0.034492384642362595
,0.0005,456,,,,,
19,,479,0.46595460176467896,0.006496022921055555,7.974197069415823e-05,4.021150743938051e-05,0.03272002562880516
,0.0005,480,,,,,
20,,503,0.46545737981796265,0.00600073067471385,7.91055936133489e-05,4.1086208511842415e-05,0.030244043096899986
,0.0005,504,,,,,
21,,527,0.4651428461074829,0.006661390420049429,6.948164809728041e-05,2.4642675271024927e-05,0.03349519893527031
,0.0005,528,,,,,
22,,551,0.4646695852279663,0.007096213288605213,6.557681626873091e-05,0.00010233774082735181,0.035816892981529236
,0.0005,552,,,,,
23,,575,0.46435266733169556,0.006297430954873562,6.414916424546391e-05,4.1848943510558456e-05,0.031699154525995255
,0.0005,576,,,,,
24,,599,0.4637933671474457,0.006047173868864775,6.0910235333722085e-05,4.5433713239617646e-05,0.030448559671640396
,0.0005,600,,,,,
25,,623,0.46337923407554626,0.007715350016951561,5.558409611694515e-05,6.156255403766409e-05,0.03881104290485382
,0.0005,624,,,,,
26,,647,0.46299970149993896,0.00668356055393815,5.488352326210588e-05,4.146118226344697e-05,0.033610496670007706
,0.0005,648,,,,,
27,,671,0.46254071593284607,0.005791401024907827,5.022927143727429e-05,3.177176768076606e-05,0.02912100777029991
,0.0005,672,,,,,
28,,695,0.462150514125824,0.00673028826713562,4.447377068572678e-05,2.319978375453502e-05,0.03378679230809212
,0.0005,696,,,,,
29,,719,0.4618106186389923,0.006032359786331654,4.0711514884606004e-05,3.666284464998171e-05,0.030316542834043503
,0.0005,720,,,,,
30,,743,0.46141180396080017,0.0070111616514623165,3.549125904100947e-05,2.935592783614993e-05,0.03518550470471382
,0.0005,744,,,,,
31,,767,0.4610379934310913,0.004937965422868729,3.606145401136018e-05,4.941188308293931e-05,0.024860773235559464
,0.0005,768,,,,,
32,,791,0.4605879485607147,0.004387775436043739,3.052102692890912e-05,2.1601379557978362e-05,0.022043120115995407
,0.0005,792,,,,,
33,,815,0.46020135283470154,0.005743399728089571,2.7580295864026994e-05,2.9742221158812754e-05,0.028831645846366882
,0.0005,816,,,,,
34,,839,0.4598905146121979,0.005448540206998587,2.4997800210257992e-05,2.6894156690104865e-05,0.02734648622572422
,0.0005,840,,,,,
35,,863,0.4594064950942993,0.004532101564109325,2.4051618311204948e-05,3.592470602598041e-05,0.02278045564889908
,0.0005,864,,,,,
36,,887,0.45915043354034424,0.005252891220152378,2.182002572226338e-05,1.8614393411553465e-05,0.026345325633883476
,0.0005,888,,,,,
37,,911,0.4586811065673828,0.010105110704898834,1.9505638192640617e-05,5.604801117442548e-05,0.050676655024290085
,0.0005,912,,,,,
38,,935,0.458385705947876,0.004784683231264353,1.8166600057156757e-05,5.545589010580443e-05,0.024070661514997482
,0.0005,936,,,,,
39,,959,0.45785754919052124,0.005319706629961729,1.618172973394394e-05,6.027286144671962e-05,0.02675144001841545
,0.0005,960,,,,,
40,,983,0.4573546350002289,0.004990164190530777,1.4868704056425486e-05,3.497687794151716e-05,0.025050509721040726
,0.0005,984,,,,,
41,,1007,0.4569632411003113,0.008832002058625221,1.5310783055610955e-05,0.00026255767443217337,0.0447157584130764
,0.0005,1008,,,,,
42,,1031,0.45648646354675293,0.0053584096021950245,1.758331200107932e-05,5.184143446967937e-05,0.026930898427963257
,0.0005,1032,,,,,
