epoch,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/si_re,train/total_loss,train/total_loss_smma
,0.001,0,,,,,,,
0,,60,0.48820847272872925,0.01497532520443201,0.1704772561788559,0.007748076226562262,0.4287710189819336,0.19320057332515717,
,0.001,61,,,,,,,
1,,121,0.47171318531036377,0.006420524325221777,7.506537076551467e-05,0.0004940255894325674,0.5497667789459229,0.0069896150380373,
,0.001,122,,,,,,,
2,,182,0.44953566789627075,0.007653500884771347,6.728727021254599e-05,0.000563214358408004,0.5141493082046509,0.008284002542495728,
,0.001,183,,,,,,,
3,,243,0.43063369393348694,0.0074403611943125725,0.0002467010635882616,0.0005216925055719912,0.48526132106781006,0.008208757266402245,
,0.001,244,,,,,,,
4,,304,0.4105766713619232,0.0056975726038217545,2.1647636458510533e-05,0.0005517152603715658,0.47506409883499146,0.006270936224609613,
,0.001,305,,,,,,,
5,,365,0.38821858167648315,0.00890771858394146,9.095953828364145e-06,0.0005192050011828542,0.6058260798454285,0.009436016902327538,
,0.001,366,,,,,,,
6,,426,0.37326160073280334,0.007326856255531311,2.3968434106791392e-05,0.0002316070458618924,0.4731285274028778,0.0075824325904250145,
,0.001,427,,,,,,,
7,,487,0.33953583240509033,0.010388508439064026,5.526303357328288e-05,0.0020297241862863302,0.5451601147651672,0.012473493814468384,
,0.001,488,,,,,,,
8,,548,0.3143308162689209,0.006789188366383314,5.91037496633362e-05,0.00014561392890755087,0.5779238343238831,0.006993905175477266,
,0.001,549,,,,,,,
9,,609,0.30153074860572815,0.008088620379567146,7.186958100646734e-05,0.0005904118297621608,0.4635537564754486,0.008750899694859982,
,0.001,610,,,,,,,
10,,670,0.281633585691452,0.004627176094800234,6.6892993345391e-05,0.000134357760543935,0.537621259689331,0.004828427452594042,
,0.001,671,,,,,,,
11,,731,0.2727702260017395,0.007003214210271835,4.889014599029906e-05,9.994967695092782e-05,0.5357696413993835,0.007152054458856583,
,0.001,732,,,,,,,
12,,792,0.26100558042526245,0.0057161906734108925,0.0003036837442778051,7.136337080737576e-05,0.5665826797485352,0.006091237999498844,
,0.001,793,,,,,,,
13,,853,0.258247971534729,0.00798096600919962,0.00013582254177890718,3.261212259531021e-05,0.6109797358512878,0.008149401284754276,
,0.001,854,,,,,,,
14,,914,0.2507960796356201,0.00934000313282013,0.0001444648514734581,0.00010676536476239562,0.6629694700241089,0.009591235779225826,
,0.001,915,,,,,,,
15,,975,0.2463659644126892,0.0062493071891367435,8.08431941550225e-05,6.665942055406049e-05,0.5638808012008667,0.006396809127181768,
,0.001,976,,,,,,,
16,,1036,0.23387952148914337,0.007638491224497557,5.830617737956345e-06,7.763749454170465e-05,0.6638823747634888,0.007721962872892618,
,0.001,1037,,,,,,,
17,,1097,0.2212100625038147,0.006794878747314215,6.640546780545264e-05,0.0001522964594187215,0.5707891583442688,0.007013581693172455,
,0.001,1098,,,,,,,
18,,1158,0.21175579726696014,0.00898880697786808,0.00035661752917803824,0.00021008984185755253,0.5866230130195618,0.009555513970553875,
,0.001,1159,,,,,,,
19,,1219,0.20730723440647125,0.0066873845644295216,9.863516424957197e-06,0.0001368818193441257,0.6791967749595642,0.006834128871560097,
,0.001,1220,,,,,,,
20,,1280,0.2048390805721283,0.005805809982120991,3.65539835911477e-06,2.6778394385473803e-05,0.5740934610366821,0.005836245603859425,
,0.001,1281,,,,,,,
21,,1341,0.19855637848377228,0.005932408384978771,3.811143869825173e-06,4.174653076916002e-05,0.6388087272644043,0.005977966357022524,
,0.001,1342,,,,,,,
22,,1402,0.19585703313350677,0.0051230029202997684,2.5050194381037727e-05,0.0001759286387823522,0.5904762744903564,0.005323981400579214,
,0.001,1403,,,,,,,
23,,1463,0.19438554346561432,0.006232684012502432,0.0004749503277707845,4.69729166070465e-05,0.5980607867240906,0.0067546069622039795,
,0.001,1464,,,,,,,
24,,1524,0.18911921977996826,0.006245351396501064,6.760568066965789e-05,1.954911567736417e-05,0.7009079456329346,0.006332504563033581,
,0.001,1525,,,,,,,
25,,1585,0.18922236561775208,0.005477706901729107,0.00017182431474793702,2.837485408235807e-05,0.6586511731147766,0.005677906796336174,
,0.001,1586,,,,,,,
26,,1646,0.1862146109342575,0.005230915267020464,0.0005274300929158926,3.968405508203432e-05,0.6284277439117432,0.005798029247671366,
,0.001,1647,,,,,,,
27,,1707,0.18799751996994019,0.005985094700008631,0.00017383636441081762,5.430737292044796e-05,0.7027930617332458,0.006213237531483173,
,0.001,1708,,,,,,,
28,,1768,0.1925005465745926,0.006119471974670887,0.00020624905300792307,0.00017381498764734715,0.7627329230308533,0.006499535869807005,
,0.001,1769,,,,,,,
29,,1829,0.19397005438804626,0.007638505659997463,0.00010324082541046664,0.000191093233297579,0.7038751244544983,0.007932840846478939,
,0.001,1830,,,,,,,
30,,1890,0.20226708054542542,0.006316570099443197,1.6350179066648707e-05,3.645989272627048e-05,0.7120163440704346,0.006369378883391619,
,0.001,1891,,,,,,,
31,,1951,0.1994508057832718,0.004926252644509077,1.4123550045042066e-06,4.238670226186514e-05,0.7715762257575989,0.004970052745193243,
,0.001,1952,,,,,,,
32,,2012,0.19130317866802216,0.005810078699141741,9.145401236310136e-07,4.633990101865493e-05,0.6409696936607361,0.005857333540916443,
,0.001,2013,,,,,,,
33,,2073,0.1884545236825943,0.004492581821978092,1.2443530977179762e-05,1.8724162146099843e-05,0.6013949513435364,0.004523750394582748,
,0.001,2074,,,,,,,
34,,2134,0.18615742027759552,0.004944471642374992,0.00027873064391314983,2.957725700980518e-05,0.7010557055473328,0.005252778995782137,
,0.001,2135,,,,,,,
35,,2195,0.18586456775665283,0.006859875284135342,1.4188832210493274e-05,5.523235086002387e-05,0.7182650566101074,0.006929297000169754,
,0.001,2196,,,,,,,
36,,2256,0.1851956993341446,0.005931952502578497,9.189340198645368e-05,2.0752700947923586e-05,0.6436923146247864,0.00604459922760725,
,0.001,2257,,,,,,,
37,,2317,0.1850602626800537,0.004704804625362158,0.0004323190660215914,3.374902007635683e-05,0.6045711040496826,0.005170872900635004,
,0.001,2318,,,,,,,
38,,2378,0.18581664562225342,0.007508086506277323,0.00031972589204087853,0.00016613757179584354,0.6710927486419678,0.007993950508534908,
