epoch,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma,val/si_re
,0.001,0,,,,,,,
0,,60,0.49340832233428955,0.08821959793567657,0.15347746014595032,0.005872887093573809,0.24757005274295807,,0.6003097891807556
,0.001,61,,,,,,,
1,,121,0.4669910669326782,0.006280787289142609,0.0001724086469039321,0.0010990320006385446,0.007552225608378649,,0.4213234484195709
,0.001,122,,,,,,,
2,,182,0.4466750919818878,0.0068795448169112206,7.065057434374467e-05,0.0005801993538625538,0.007530394475907087,,0.3844539523124695
,0.001,183,,,,,,,
3,,243,0.4337119162082672,0.010512026958167553,0.00010217305680271238,0.00045480395783670247,0.011069001629948616,,0.42981284856796265
,0.001,244,,,,,,,
4,,304,0.4196527600288391,0.0066096242517232895,0.00012113738193875179,0.0005292482092045248,0.007260010112076998,,0.4380283057689667
,0.001,305,,,,,,,
5,,365,0.4066503345966339,0.0065788207575678825,4.96424654556904e-05,0.0005429831799119711,0.007171445991843939,,0.4228416085243225
,0.001,366,,,,,,,
6,,426,0.3932868540287018,0.006468040402978659,5.163770401850343e-05,0.00023012913879938424,0.0067498087882995605,,0.42410263419151306
,0.001,427,,,,,,,
7,,487,0.37864482402801514,0.007188066374510527,0.00022857135627418756,0.00044386505032889545,0.007860501296818256,,0.5670051574707031
,0.001,488,,,,,,,
8,,548,0.3694148659706116,0.007311708759516478,0.00010265690070809796,0.00036285456735640764,0.007777221966534853,,0.47801175713539124
,0.001,549,,,,,,,
9,,609,0.35609161853790283,0.007353902328759432,0.00032627113978378475,0.00042525422759354115,0.008105426095426083,,0.5194216370582581
,0.001,610,,,,,,,
10,,670,0.33941540122032166,0.009558141231536865,0.0001629455218790099,0.0004876962921116501,0.010208784602582455,,0.4234647750854492
,0.001,671,,,,,,,
11,,731,0.3203403651714325,0.006506653036922216,0.00031331388163380325,0.000420454831328243,0.007240423001348972,,0.4238266348838806
,0.001,732,,,,,,,
12,,792,0.30221012234687805,0.007399316411465406,0.00014230457600206137,0.00020321382908150554,0.007744837086647749,,0.5143501162528992
,0.001,793,,,,,,,
13,,853,0.2945178747177124,0.007428769953548908,3.2360272598452866e-05,9.323273843619972e-05,0.0075543648563325405,,0.5305064916610718
,0.001,854,,,,,,,
14,,914,0.28849756717681885,0.0067551275715231895,0.00037928708479739726,0.00013359394506551325,0.007268007379025221,,0.5779669880867004
,0.001,915,,,,,,,
15,,975,0.28179702162742615,0.004942983854562044,8.023414920899086e-06,0.00013843426131643355,0.005089440383017063,,0.5861905813217163
,0.001,976,,,,,,,
16,,1036,0.2686537206172943,0.006451836787164211,3.327789090690203e-05,0.0001300171425100416,0.006615132093429565,,0.5305485725402832
,0.001,1037,,,,,,,
17,,1097,0.2531032860279083,0.004681396298110485,0.0003916081041097641,0.00026341420016251504,0.005336417816579342,,0.5993536710739136
,0.001,1098,,,,,,,
18,,1158,0.2481526881456375,0.005687213968485594,0.0003592610592022538,0.00012603907089214772,0.006172514520585537,,0.5660266876220703
,0.001,1159,,,,,,,
19,,1219,0.24099838733673096,0.006377835758030415,0.00010716622637119144,0.00016081935609690845,0.00664582010358572,,0.45338040590286255
,0.001,1220,,,,,,,
20,,1280,0.2331007421016693,0.00984934065490961,0.0003754455246962607,0.0001953322353074327,0.010420120321214199,,0.6231686472892761
,0.001,1281,,,,,,,
21,,1341,0.2317291796207428,0.010652297176420689,8.130830246955156e-05,0.00018317121430300176,0.01091677788645029,,0.43283823132514954
,0.001,1342,,,,,,,
22,,1402,0.21733403205871582,0.00586312310770154,1.4675169040856417e-05,4.94859013997484e-05,0.005927284248173237,,0.7164239883422852
,0.001,1403,,,,,,,
23,,1463,0.20886638760566711,0.008368079550564289,2.3096885342965834e-05,0.0002239415916847065,0.008615118451416492,,0.5969914793968201
,0.001,1464,,,,,,,
24,,1524,0.20342223346233368,0.007043292745947838,0.0001329548395005986,0.00015918997814878821,0.007335437927395105,,0.659864604473114
,0.001,1525,,,,,,,
25,,1585,0.1996050626039505,0.007208202034235001,9.238705388270319e-05,5.463951310957782e-05,0.007355228532105684,,0.5621758103370667
,0.001,1586,,,,,,,
26,,1646,0.19807513058185577,0.0063007245771586895,3.6002435081172734e-05,1.4388897398021072e-05,0.006351115647703409,,0.6946146488189697
,0.001,1647,,,,,,,
27,,1707,0.19928458333015442,0.006187059450894594,1.7100963304983452e-05,1.7657795979175717e-05,0.006221818272024393,,0.7171204686164856
,0.001,1708,,,,,,,
28,,1768,0.19575127959251404,0.008708404377102852,0.00022822745086159557,0.00010790414671646431,0.009044538252055645,,0.6800003051757812
,0.001,1769,,,,,,,
29,,1829,0.19508062303066254,0.006546857766807079,0.0001397661108057946,3.601700518629514e-05,0.00672264164313674,,0.6049448251724243
,0.001,1830,,,,,,,
30,,1890,0.19461412727832794,0.006522336509078741,1.9923883883166127e-05,2.5310262572020292e-05,0.006567568518221378,,0.6346321105957031
,0.001,1891,,,,,,,
31,,1951,0.19324113428592682,0.006023492198437452,4.975876436219551e-06,3.87666150345467e-05,0.006067234557121992,,0.6401810646057129
,0.001,1952,,,,,,,
32,,2012,0.18936267495155334,0.005811502691358328,6.450870841945289e-06,0.0001034780652844347,0.005921433679759502,,0.6876741647720337
,0.001,2013,,,,,,,
33,,2073,0.19333641231060028,0.005937355104833841,1.0107796697411686e-06,1.4539554285875056e-05,0.005952905397862196,,0.5961117148399353
,0.001,2074,,,,,,,
34,,2134,0.19513127207756042,0.005882257129997015,3.9931273931870237e-07,1.5500887457164936e-05,0.005898156203329563,,0.6290500164031982
,0.001,2135,,,,,,,
35,,2195,0.19683879613876343,0.005371954757720232,2.2663403797196224e-05,1.007545961329015e-05,0.0054046944715082645,,0.6755911111831665
,0.001,2196,,,,,,,
36,,2256,0.20031052827835083,0.00523024657741189,3.8982780097285286e-06,2.516609492886346e-05,0.005259310360997915,,0.6316384673118591
,0.001,2257,,,,,,,
37,,2317,0.19389761984348297,0.005662718787789345,1.7091830386561924e-06,2.2915548470336944e-05,0.005687344819307327,,0.6800194382667542
,0.001,2318,,,,,,,
38,,2378,0.19040250778198242,0.006728446576744318,1.1011206879629754e-05,9.381215932080522e-05,0.006833270192146301,,0.4947802722454071
,0.001,2379,,,,,,,
39,,2439,0.19099144637584686,0.007370274979621172,0.00031325159943662584,0.00017008646682370454,0.007853611372411251,,0.5924729704856873
,0.001,2440,,,,,,,
