epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma,val/si_re
,,0.001,0,,,,,,,
0,,,60,0.48068153858184814,0.017374124377965927,0.07833041995763779,0.01832517981529236,0.11402969807386398,,0.6393298506736755
,,0.001,61,,,,,,,
1,,,121,0.46503278613090515,0.008153429254889488,0.0005072371568530798,9.584103099768981e-05,0.008756506256759167,,0.6200669407844543
,,0.001,122,,,,,,,
2,,,182,0.45977887511253357,0.0056100888177752495,0.00029649186762981117,7.056874164845794e-05,0.005977150052785873,,0.56739741563797
,,0.001,183,,,,,,,
3,,,243,0.4551060199737549,0.006525292526930571,0.00018985397764481604,4.405736399348825e-05,0.0067592039704322815,,0.542550802230835
,,0.001,244,,,,,,,
4,,,304,0.44978073239326477,0.006046541500836611,0.00017605358152650297,5.875787974218838e-05,0.006281352136284113,,0.5114138126373291
,,0.001,305,,,,,,,
5,,,365,0.44432905316352844,0.005929266568273306,0.00014376833860296756,3.729280797415413e-05,0.006110328249633312,,0.47811615467071533
,,0.001,366,,,,,,,
6,,,426,0.4390316307544708,0.006296802777796984,0.0001133264449890703,3.695387567859143e-05,0.006447083782404661,,0.457062691450119
,,0.001,427,,,,,,,
7,,,487,0.43399578332901,0.006138026248663664,9.779419633559883e-05,2.3307364244828932e-05,0.006259126588702202,,0.4441851079463959
,,0.001,488,,,,,,,
8,,,548,0.42826658487319946,0.006274120416492224,9.165775554720312e-05,3.1174644391285256e-05,0.006396951153874397,,0.4627186357975006
,,0.001,549,,,,,,,
9,,,609,0.423576295375824,0.005864115431904793,7.189650932559744e-05,2.0156900063739158e-05,0.005956168286502361,,0.5038893818855286
,,0.001,610,,,,,,,
10,,,670,0.41908153891563416,0.005821389611810446,7.107395504135638e-05,1.91712624655338e-05,0.005911634769290686,,0.40774276852607727
,,0.001,671,,,,,,,
11,,,731,0.41427502036094666,0.005669874604791403,5.728050018660724e-05,1.7307536836597137e-05,0.005744462367147207,,0.4215821623802185
,,0.001,732,,,,,,,
