epoch,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss
,0.001,0,,,,,
0,,60,0.4877772927284241,0.025411447510123253,0.09374386817216873,0.023961752653121948,0.3718201518058777
,0.001,61,,,,,
1,,121,0.4707716107368469,0.006748888175934553,0.01774263195693493,0.005989347584545612,0.09122088551521301
,0.001,122,,,,,
2,,182,0.46193066239356995,0.0061373645439744,0.008063594810664654,0.00222402298822999,0.07166124880313873
,0.001,183,,,,,
3,,243,0.45604994893074036,0.006221081130206585,0.004642212763428688,0.0010904270457103848,0.06794343888759613
,0.001,244,,,,,
4,,304,0.4518328309059143,0.005414295010268688,0.002690924797207117,0.0006096001015976071,0.057443469762802124
,0.001,305,,,,,
5,,365,0.44867953658103943,0.004503644071519375,0.001942251343280077,0.000412202876759693,0.0473908968269825
,0.001,366,,,,,
6,,426,0.44605541229248047,0.006409630179405212,0.0015268648276105523,0.0003126324445474893,0.06593576818704605
,0.001,427,,,,,
7,,487,0.44376641511917114,0.005487656686455011,0.0010599067900329828,0.00022778022685088217,0.05616424232721329
,0.001,488,,,,,
8,,548,0.44189196825027466,0.00481945276260376,0.0008629341027699411,0.00018697979976423085,0.049244437366724014
,0.001,549,,,,,
9,,609,0.4397832751274109,0.00648517394438386,0.0007358749862760305,0.00020552956266328692,0.06579314917325974
,0.001,610,,,,,
10,,670,0.4384806156158447,0.005345224868506193,0.0005528375040739775,0.00012828435865230858,0.054133377969264984
,0.001,671,,,,,
11,,731,0.43680429458618164,0.006142212077975273,0.000606733316089958,0.0001419045584043488,0.062170758843421936
,0.001,732,,,,,
12,,792,0.4352158308029175,0.004704464226961136,0.0005288608372211456,0.00012014519597869366,0.047693654894828796
,0.001,793,,,,,
13,,853,0.4337266683578491,0.006631652358919382,0.0004011170531157404,9.936919377651066e-05,0.06681700795888901
,0.001,854,,,,,
14,,914,0.4324229955673218,0.0055830576457083225,0.00037078550667501986,9.263920946978033e-05,0.05629400536417961
,0.001,915,,,,,
15,,975,0.4313593804836273,0.004655058495700359,0.0002640470047481358,6.774262874387205e-05,0.046882376074790955
,0.001,976,,,,,
16,,1036,0.43019425868988037,0.005030530504882336,0.00027443477301858366,6.902285531396046e-05,0.0506487675011158
,0.001,1037,,,,,
17,,1097,0.4290131628513336,0.006775860674679279,0.00023425077961292118,6.583668437087908e-05,0.06805870682001114
,0.001,1098,,,,,
18,,1158,0.4279966652393341,0.005683236289769411,0.00023291651450563222,6.344033317873254e-05,0.057128727436065674
,0.001,1159,,,,,
19,,1219,0.42693910002708435,0.006394450552761555,0.0001790066744433716,4.695468669524416e-05,0.0641704648733139
,0.001,1220,,,,,
20,,1280,0.42572131752967834,0.00732063502073288,0.00020122267596889287,6.762260454706848e-05,0.0734751895070076
,0.001,1281,,,,,
21,,1341,0.42455795407295227,0.006055943202227354,0.00017389777349308133,5.198516373638995e-05,0.06078529730439186
,0.001,1342,,,,,
22,,1402,0.42348265647888184,0.0053709521889686584,0.00015028395864646882,4.323647954151966e-05,0.05390302464365959
,0.001,1403,,,,,
23,,1463,0.4225710928440094,0.005676229950040579,0.0001277871779166162,3.554028080543503e-05,0.05692562833428383
,0.001,1464,,,,,
24,,1524,0.4217052161693573,0.005236443597823381,0.00011833460303023458,3.268939326517284e-05,0.05251546576619148
,0.001,1525,,,,,
25,,1585,0.42073574662208557,0.004334953613579273,0.00011722668568836525,3.501079845591448e-05,0.04350176453590393
,0.001,1586,,,,,
26,,1646,0.4196842610836029,0.0047427937388420105,0.00010558661597315222,4.0392733353655785e-05,0.04757392778992653
,0.001,1647,,,,,
27,,1707,0.4190785586833954,0.0046044341288506985,8.863185939844698e-05,2.2867394363856874e-05,0.04615584388375282
,0.001,1708,,,,,
28,,1768,0.41822001338005066,0.005988826043903828,0.00011131107021356001,3.3142812753794715e-05,0.060032714158296585
,0.001,1769,,,,,
29,,1829,0.417143851518631,0.003842258360236883,9.715599298942834e-05,2.7025143936043605e-05,0.038546763360500336
,0.001,1830,,,,,
30,,1890,0.41632622480392456,0.005124644376337528,9.138575114775449e-05,2.9831136998836882e-05,0.051367662847042084
,0.001,1891,,,,,
31,,1951,0.415330708026886,0.005427310708910227,9.10461021703668e-05,2.438617048028391e-05,0.05438852682709694
,0.001,1952,,,,,
32,,2012,0.4143519401550293,0.005123633425682783,8.987926412373781e-05,2.351791954424698e-05,0.051349736750125885
,0.001,2013,,,,,
33,,2073,0.4132272005081177,0.004133055452257395,8.689599781064317e-05,2.8703139832941815e-05,0.04144616052508354
,0.001,2074,,,,,
34,,2134,0.41241058707237244,0.0051406435668468475,7.53685089875944e-05,1.97837725863792e-05,0.051501575857400894
,0.001,2135,,,,,
35,,2195,0.41127797961235046,0.00435165548697114,9.031460649566725e-05,2.8292448405409232e-05,0.043635159730911255
,0.001,2196,,,,,
36,,2256,0.4102792739868164,0.005162373650819063,7.434440340148285e-05,1.9128241547150537e-05,0.05171720311045647
,0.001,2257,,,,,
37,,2317,0.40912720561027527,0.00530886510387063,8.292818529298529e-05,2.3507698642788455e-05,0.05319508910179138
,0.001,2318,,,,,
38,,2378,0.4078736901283264,0.004024823661893606,8.575821266276762e-05,2.9014761821599677e-05,0.04036301374435425
,0.001,2379,,,,,
39,,2439,0.4064786434173584,0.0054725296795368195,8.334308949997649e-05,2.9716562494286336e-05,0.05483834445476532
,0.001,2440,,,,,
40,,2500,0.40510451793670654,0.005779455415904522,8.862391405273229e-05,2.6213136152364314e-05,0.057909391820430756
,0.001,2501,,,,,
41,,2561,0.403386652469635,0.004118345677852631,7.984167314134538e-05,2.944960397144314e-05,0.04129275679588318
,0.001,2562,,,,,
42,,2622,0.40213385224342346,0.005390950944274664,7.187533628894016e-05,2.271065386594273e-05,0.054004110395908356
,0.001,2623,,,,,
43,,2683,0.4006763696670532,0.0046040271408855915,6.579158798558637e-05,1.8192011339124292e-05,0.04612426087260246
,0.001,2684,,,,,
44,,2744,0.3991880416870117,0.004696258809417486,8.457728108623996e-05,2.3293247068068013e-05,0.0470704548060894
,0.001,2745,,,,,
45,,2805,0.39740830659866333,0.004068231675773859,0.00013490839046426117,4.4484331738203764e-05,0.04086171090602875
,0.001,2806,,,,,
46,,2866,0.394697904586792,0.004334438592195511,0.00014573724183719605,3.862693483824842e-05,0.04352874308824539
,0.001,2867,,,,,
47,,2927,0.3919866383075714,0.004150934051722288,0.00015959294978529215,3.3285563404206187e-05,0.04170222952961922
,0.001,2928,,,,,
48,,2988,0.3891541361808777,0.00534795830026269,0.0002579739084467292,5.772469739895314e-05,0.05379527434706688
,0.001,2989,,,,,
49,,3049,0.38512760400772095,0.006508654449135065,0.0005695661529898643,6.355651566991583e-05,0.06571965664625168
,0.001,3050,,,,,
50,,3110,0.3800550103187561,0.007448280230164528,0.0002957152610179037,2.2222278857952915e-05,0.07480073720216751
,0.001,3111,,,,,
51,,3171,0.37342438101768494,0.006645502522587776,0.0007592811598442495,4.265165262040682e-05,0.06725695729255676
,0.001,3172,,,,,
52,,3232,0.3672197163105011,0.006282321643084288,0.0007261211285367608,3.621574069256894e-05,0.063585564494133
,0.001,3233,,,,,
53,,3293,0.3639078140258789,0.006872773170471191,0.00033993550459854305,1.7768308680388145e-05,0.06908542662858963
,0.001,3294,,,,,
54,,3354,0.3599303662776947,0.0057862489484250546,0.0002757181937340647,1.2498557225626428e-05,0.05815070495009422
,0.001,3355,,,,,
55,,3415,0.3565804660320282,0.005460018757730722,0.0002976397518068552,1.608995080459863e-05,0.05491390824317932
,0.001,3416,,,,,
56,,3476,0.35357069969177246,0.005931793712079525,0.00022882698976900429,1.636409797356464e-05,0.05956311896443367
,0.001,3477,,,,,
57,,3537,0.3513460159301758,0.005070783663541079,0.00011721478949766606,1.3191333891882095e-05,0.05083824694156647
,0.001,3538,,,,,
58,,3598,0.34786057472229004,0.006672672927379608,0.00015868840273469687,3.761237167054787e-05,0.06692302972078323
,0.001,3599,,,,,
59,,3659,0.34663262963294983,0.006561139598488808,0.00014990540512371808,1.040108509187121e-05,0.06577171385288239
,0.001,3660,,,,,
60,,3720,0.3423612415790558,0.00588576402515173,0.00021450793428812176,1.0473660950083286e-05,0.05908261239528656
,0.001,3721,,,,,
61,,3781,0.34008634090423584,0.0048019117675721645,0.00014402082888409495,9.306335414294153e-06,0.04817244037985802
,0.001,3782,,,,,
62,,3842,0.338321715593338,0.005842345766723156,0.00010304732131771743,1.1344312952132896e-05,0.05853784456849098
,0.001,3843,,,,,
63,,3903,0.3368610739707947,0.005884403828531504,8.225954661611468e-05,1.3988284990773536e-05,0.05894027650356293
,0.001,3904,,,,,
64,,3964,0.3350676894187927,0.006260704714804888,6.626809044973925e-05,1.1106131751148496e-05,0.06268443167209625
,0.001,3965,,,,,
65,,4025,0.3334766924381256,0.0056175608187913895,5.1141611038474366e-05,1.6428759408881888e-05,0.056243181228637695
,0.001,4026,,,,,
66,,4086,0.3320324718952179,0.005719492677599192,4.509531572693959e-05,8.833665560814552e-06,0.05724886804819107
,0.001,4087,,,,,
67,,4147,0.3309783637523651,0.004238784778863192,3.389607081771828e-05,7.307595296879299e-06,0.04242904484272003
,0.001,4148,,,,,
68,,4208,0.3300737738609314,0.005293895024806261,2.9373864890658297e-05,8.632451681478415e-06,0.05297695845365524
,0.001,4209,,,,,
69,,4269,0.32864490151405334,0.006259472109377384,3.1176034099189565e-05,1.8134038327843882e-05,0.06264402717351913
,0.001,4270,,,,,
70,,4330,0.32631778717041016,0.005105670541524887,2.3733040507067926e-05,9.763833077158779e-06,0.05109020322561264
,0.001,4331,,,,,
71,,4391,0.3253440260887146,0.004892160650342703,2.122273508575745e-05,1.1054899005102925e-05,0.04895388334989548
,0.001,4392,,,,,
72,,4452,0.32437822222709656,0.0036702679935842752,1.8474476746632718e-05,6.613229288632283e-06,0.03672776743769646
,0.001,4453,,,,,
73,,4513,0.3237157464027405,0.005096629727631807,1.8446451576892287e-05,6.56431393508683e-06,0.05099131166934967
,0.001,4514,,,,,
74,,4574,0.32294851541519165,0.0045824069529771805,1.9153128960169852e-05,9.591696652933024e-06,0.04585281014442444
,0.001,4575,,,,,
75,,4635,0.32161685824394226,0.0038698266725987196,2.2114607418188825e-05,9.592019523552153e-06,0.038729969412088394
,0.001,4636,,,,,
76,,4696,0.3206547200679779,0.005139533430337906,1.6471960407216102e-05,1.0925703463726677e-05,0.05142272636294365
,0.001,4697,,,,,
77,,4757,0.31939801573753357,0.005310610868036747,1.850234366429504e-05,1.0992187526426278e-05,0.053135596215724945
,0.001,4758,,,,,
78,,4818,0.31847354769706726,0.004130981396883726,1.8233617083751597e-05,9.044135367730632e-06,0.04133709520101547
,0.001,4819,,,,,
79,,4879,0.31672126054763794,0.0036273712757974863,2.929193215095438e-05,2.349378883081954e-05,0.03632650896906853
,0.001,4880,,,,,
80,,4940,0.3149970471858978,0.003981171641498804,2.068867615889758e-05,2.3720549506833777e-05,0.03985612839460373
,0.001,4941,,,,,
81,,5001,0.31071627140045166,0.0039975992403924465,3.0076153052505106e-05,3.537229713401757e-05,0.04004143550992012
,0.001,5002,,,,,
82,,5062,0.30603277683258057,0.002616466023027897,2.9539898605435155e-05,2.310941636096686e-05,0.026217306032776833
,0.001,5063,,,,,
83,,5123,0.3032035231590271,0.005615072790533304,4.1805589717114344e-05,3.972766353399493e-05,0.0562322624027729
,0.001,5124,,,,,
84,,5184,0.29749277234077454,0.002458978909999132,5.6837663578335196e-05,6.066668720450252e-05,0.024707293137907982
,0.001,5185,,,,,
85,,5245,0.29651370644569397,0.0034822928719222546,2.6641493604984134e-05,4.019355765194632e-05,0.034889765083789825
,0.001,5246,,,,,
86,,5306,0.294551283121109,0.0036785767879337072,4.2012623453047127e-05,5.1687657105503604e-05,0.03687947615981102
,0.001,5307,,,,,
87,,5367,0.2925049662590027,0.001440833555534482,5.1007154979743063e-05,4.366297071101144e-05,0.014503004029393196
,0.001,5368,,,,,
