# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.858125000000000000e+03 5.854217529296875000e+02 9.969809055328369141e-01
1.000000000000000000e+03 2.107680419921875000e+03 7.101873168945312500e+02 1.098092198371887207e+00
2.000000000000000000e+03 2.077872314453125000e+03 9.302663574218750000e+02 1.256770730018615723e+00
3.000000000000000000e+03 2.077616210937500000e+03 9.356945190429687500e+02 1.260432004928588867e+00
4.000000000000000000e+03 2.077515136718750000e+03 9.360385742187500000e+02 1.260663628578186035e+00
5.000000000000000000e+03 2.077398437500000000e+03 9.361390991210937500e+02 1.260731458663940430e+00
6.000000000000000000e+03 1.066068191528320312e+02 1.361034154891967773e+00 4.807141423225402832e-02
7.000000000000000000e+03 1.816460037231445312e+01 1.580691337585449219e+00 5.180550366640090942e-02
8.000000000000000000e+03 3.866255044937133789e+00 1.494442224502563477e+00 5.037232115864753723e-02
9.000000000000000000e+03 1.352405428886413574e+00 1.037452459335327148e+00 4.196975752711296082e-02
1.000000000000000000e+04 5.548481941223144531e-01 5.413831472396850586e-01 3.031829185783863068e-02
1.100000000000000000e+04 2.062190026044845581e-01 2.187933921813964844e-01 1.927389577031135559e-02
1.200000000000000000e+04 6.359621137380599976e-02 6.892371922731399536e-02 1.081774476915597916e-02
1.300000000000000000e+04 1.613473147153854370e-02 1.760748587548732758e-02 5.467654205858707428e-03
1.400000000000000000e+04 3.788453526794910431e-03 4.234629217535257339e-03 2.681390382349491119e-03
1.500000000000000000e+04 9.563611820340156555e-04 1.498504541814327240e-03 1.595076057128608227e-03
