epoch,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma
,0.001,0,,,,,,
0,,60,0.4896482229232788,0.007239533122628927,0.15210601687431335,0.0025438331067562103,0.16188935935497284,
,0.001,61,,,,,,
1,,121,0.4649154543876648,0.011122110299766064,0.00015853990043979138,0.0011611803201958537,0.012441829778254032,
,0.001,122,,,,,,
2,,182,0.4426211416721344,0.009057811461389065,0.0002583485620561987,0.0015981207834556699,0.010914282873272896,
,0.001,183,,,,,,
3,,243,0.4327572286128998,0.00796724297106266,9.958736336557195e-05,0.00037699821405112743,0.008443827740848064,
,0.001,244,,,,,,
4,,304,0.41998592019081116,0.007340434473007917,8.248881931649521e-05,0.0005657019792124629,0.007988625206053257,
,0.001,305,,,,,,
5,,365,0.40465885400772095,0.006772140972316265,0.0002087711909553036,0.0004820726462639868,0.007462983950972557,
,0.001,366,,,,,,
6,,426,0.38642001152038574,0.009864255785942078,0.00038336843135766685,0.000617722631432116,0.010865344665944576,
,0.001,427,,,,,,
7,,487,0.3654564321041107,0.007022271864116192,2.6372163119958714e-05,0.000332547293510288,0.007381192408502102,
,0.001,488,,,,,,
8,,548,0.3522021174430847,0.006656555458903313,0.00014024243864696473,0.0001450593990739435,0.006941856350749731,
,0.001,549,,,,,,
9,,609,0.34090790152549744,0.005756725091487169,0.00010200766701018438,0.00030989712104201317,0.00616863090544939,
,0.001,610,,,,,,
10,,670,0.3213982582092285,0.006352719850838184,0.00023258934379555285,0.000594407320022583,0.007179716136306524,
,0.001,671,,,,,,
11,,731,0.29972541332244873,0.005174312274903059,0.0002136970142601058,0.0002481236297171563,0.005636132322251797,
,0.001,732,,,,,,
12,,792,0.28723791241645813,0.00953700765967369,0.00014951109187677503,0.000317894562613219,0.01000441238284111,
,0.001,793,,,,,,
13,,853,0.2678774893283844,0.006815179716795683,0.00029158341931179166,0.00014117466344032437,0.007247939705848694,
,0.001,854,,,,,,
14,,914,0.26195600628852844,0.006506290286779404,2.9434901080094278e-05,6.640220090048388e-05,0.006602129433304071,
,0.001,915,,,,,,
15,,975,0.25057804584503174,0.009586534462869167,0.0003515066928230226,0.0001751603849697858,0.01011319924145937,
,0.001,976,,,,,,
16,,1036,0.24284468591213226,0.005573391914367676,1.9254021026426926e-05,4.8612753744237125e-05,0.005641257856041193,
,0.001,1037,,,,,,
17,,1097,0.2363111525774002,0.007011812645941973,3.0180955945979804e-05,3.004009704454802e-05,0.007072032894939184,
,0.001,1098,,,,,,
18,,1158,0.232802614569664,0.006953744683414698,0.00018255582835990936,7.513928721891716e-05,0.007211439311504364,
,0.001,1159,,,,,,
19,,1219,0.22417813539505005,0.0078123281709849834,4.011144847027026e-05,8.85643094079569e-05,0.007941002957522869,
