epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/si_re,train/total_loss,train/total_loss_smma
,,0.001,0,,,,,,,
0,,,60,0.4902406632900238,0.007359789684414864,0.14510083198547363,0.002999502932652831,0.556902289390564,0.15546011924743652,
,,0.001,61,,,,,,,
1,,,121,0.47090858221054077,0.010998857207596302,0.00030023648287169635,0.001161712221801281,0.45013102889060974,0.012460809201002121,
,,0.001,122,,,,,,,
2,,,182,0.4477287828922272,0.0064771743491292,0.0001697202678769827,0.0009608571417629719,0.4344794750213623,0.0076077524572610855,
,,0.001,183,,,,,,,
3,,,243,0.43274813890457153,0.007010862231254578,0.0007469281554222107,0.0002403430553385988,0.3944622278213501,0.007998131215572357,
,,0.001,244,,,,,,,
4,,,304,0.42304396629333496,0.005484784487634897,0.0002940295962616801,0.00026133147184737027,0.38925057649612427,0.006040145643055439,
,,0.001,305,,,,,,,
5,,,365,0.4105387032032013,0.006136020179837942,0.00022514627198688686,0.0004808490921277553,0.4113515317440033,0.006842014845460653,
,,0.001,366,,,,,,,
6,,,426,0.3960791528224945,0.006437065079808235,0.00010595133062452078,0.00046058869338594377,0.41181862354278564,0.007003603037446737,
,,0.001,427,,,,,,,
7,,,487,0.3894270658493042,0.005801635794341564,9.068854706129059e-05,0.00023827354016248137,0.37357085943222046,0.006130598485469818,
,,0.001,488,,,,,,,
8,,,548,0.3745981752872467,0.007504224311560392,0.00022858916781842709,0.0002407989522907883,0.39520519971847534,0.007973612286150455,
,,0.001,549,,,,,,,
9,,,609,0.3638286590576172,0.005709645338356495,2.3674574549659155e-05,0.00011752684804378077,0.508353054523468,0.005850846413522959,
,,0.001,610,,,,,,,
10,,,670,0.35542887449264526,0.006278457585722208,6.393290095729753e-05,0.0002626028726808727,0.39612311124801636,0.006604993715882301,
,,0.001,671,,,,,,,
11,,,731,0.3305363357067108,0.009019128978252411,5.944569056737237e-05,0.0006749985041096807,0.47846418619155884,0.0097535764798522,
,,0.001,732,,,,,,,
12,,,792,0.31272315979003906,0.00637195585295558,4.143931801081635e-05,0.00020080320246051997,0.4848334491252899,0.006614198442548513,
,,0.001,793,,,,,,,
13,,,853,0.30492034554481506,0.008626572787761688,7.571598689537495e-05,0.00036368740256875753,0.5288315415382385,0.009065976366400719,
,,0.001,854,,,,,,,
14,,,914,0.28231799602508545,0.007893112488090992,0.0002390343724982813,0.00021471177751664072,0.4304283559322357,0.008346856571733952,
,,0.001,915,,,,,,,
15,,,975,0.27427613735198975,0.007685373537242413,6.522262265207246e-05,0.00017881870735436678,0.5363259315490723,0.007929415442049503,
,,0.001,976,,,,,,,
16,,,1036,0.26408880949020386,0.008057945407927036,0.0001015475281747058,0.00014469443704001606,0.4473227262496948,0.008304186165332794,
,,0.001,1037,,,,,,,
17,,,1097,0.2428494244813919,0.0057119508273899555,2.1566795112448744e-05,0.0002781781950034201,0.45247435569763184,0.00601169653236866,
,,0.001,1098,,,,,,,
18,,,1158,0.23071323335170746,0.007542365230619907,0.00040735123911872506,0.00014359608758240938,0.4824657440185547,0.008093314245343208,
,,0.001,1159,,,,,,,
19,,,1219,0.22827190160751343,0.005763272754848003,0.0005623733159154654,0.00018440424173604697,0.5476155281066895,0.006510050036013126,
,,0.001,1220,,,,,,,
20,,,1280,0.22672206163406372,0.0066135660745203495,5.610652078757994e-05,0.000519811175763607,0.6518377661705017,0.0071894824504852295,
,,0.001,1281,,,,,,,
21,,,1341,0.22272711992263794,0.005846438463777304,4.369733505882323e-05,3.971098703914322e-05,0.6720802187919617,0.005929844919592142,
,,0.001,1342,,,,,,,
22,,,1402,0.21879562735557556,0.007249137386679649,9.353498899145052e-05,3.464401015662588e-05,0.5859752893447876,0.007377316243946552,
,,0.001,1403,,,,,,,
23,,,1463,0.2106371372938156,0.006956048775464296,0.00014663070032838732,7.803132757544518e-05,0.5705097913742065,0.007180710323154926,
,,0.001,1464,,,,,,,
24,,,1524,0.2077416479587555,0.007368238177150488,0.0002799943322315812,0.00012378311657812446,0.7048436403274536,0.007772014942020178,
,,0.001,1525,,,,,,,
25,,,1585,0.20737162232398987,0.007098788861185312,3.0108702048892155e-05,0.00011369771527824923,0.5151622891426086,0.007242593448609114,0.013194072060286999
,,0.001,1586,,,,,,,
26,,,1646,0.20616447925567627,0.007188531570136547,5.068088285042904e-06,7.667860336368904e-05,0.6386080384254456,0.007270279340445995,0.012957120314240456
,,0.001,1647,,,,,,,
27,,,1707,0.20299485325813293,0.008152547292411327,5.394353593146661e-06,2.4923680030042306e-05,0.6304179430007935,0.00818286370486021,0.012766150757670403
,,0.001,1708,,,,,,,
28,,,1768,0.1972922533750534,0.0073031894862651825,3.0764415441808524e-06,2.702428537304513e-05,0.5782009363174438,0.007333290297538042,0.012548835948109627
,,0.001,1769,,,,,,,
29,,,1829,0.19216091930866241,0.00875041726976633,2.5586518859199714e-06,5.420559682534076e-05,0.6256078481674194,0.008807183243334293,0.012399169616401196
,,0.001,1830,,,,,,,
