epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma,val/si_re
,,0.001,0,,,,,,,
0,,,11,0.4959985017776489,0.10449565201997757,0.1758705973625183,0.04157453402876854,0.3219408094882965,,0.6890345811843872
,,0.001,12,,,,,,,
1,,,23,0.4871087372303009,0.008135341107845306,0.037278175354003906,0.012921416200697422,0.05833492800593376,,0.6810368299484253
,,0.001,24,,,,,,,
2,,,35,0.4783744812011719,0.00909136887639761,0.0005797118064947426,0.00031621160451322794,0.009987291879951954,,0.6235692501068115
,,0.001,36,,,,,,,
3,,,47,0.47335752844810486,0.007904671132564545,1.9564386093406938e-05,0.0003633582091424614,0.008287593722343445,,0.5803788304328918
,,0.001,48,,,,,,,
4,,,59,0.4706202745437622,0.008207838982343674,2.2414638806367293e-05,0.00023637987032998353,0.008466634899377823,,0.5537890791893005
,,0.001,60,,,,,,,
5,,,71,0.46882346272468567,0.009031791239976883,2.4286906409543008e-05,0.0002951508213300258,0.009351229295134544,,0.5389838218688965
,,0.001,72,,,,,,,
6,,,83,0.4677889943122864,0.006966450251638889,1.0711953109421302e-05,0.00014589354395866394,0.007123054936528206,,0.47300419211387634
,,0.001,84,,,,,,,
7,,,95,0.46488550305366516,0.007117011584341526,1.4532452041748911e-05,0.00012740078091155738,0.007258943747729063,,0.4209895133972168
,,0.001,96,,,,,,,
8,,,107,0.46307283639907837,0.006519792135804892,1.5702942619100213e-05,6.430173380067572e-05,0.006599796935915947,,0.42143958806991577
,,0.001,108,,,,,,,
9,,,119,0.46142783761024475,0.00571072194725275,8.611825251136906e-06,7.350369560299441e-05,0.005792836658656597,,0.39971479773521423
,,0.001,120,,,,,,,
10,,,131,0.45980021357536316,0.007749391719698906,6.744244728906779e-06,9.211369615513831e-05,0.00784824974834919,,0.363106906414032
,,0.001,132,,,,,,,
11,,,143,0.45865994691848755,0.006874392740428448,5.088314992462983e-06,5.994149614707567e-05,0.006939421407878399,,0.36192622780799866
,,0.001,144,,,,,,,
12,,,155,0.4574752151966095,0.006378597114235163,8.149590939865448e-06,8.572189835831523e-05,0.006472468376159668,,0.3532218635082245
,,0.001,156,,,,,,,
13,,,167,0.4564002752304077,0.005662223789840937,0.00016171066090464592,6.192385626491159e-05,0.005885858088731766,,0.340569406747818
,,0.001,168,,,,,,,
14,,,179,0.45550552010536194,0.0052940137684345245,0.0009089889354072511,0.00014750674017705023,0.006350509822368622,,0.3674505949020386
,,0.001,180,,,,,,,
15,,,191,0.4545309245586395,0.007143721915781498,0.0007510175346396863,0.0002958869154099375,0.008190625347197056,,0.373533695936203
,,0.001,192,,,,,,,
16,,,203,0.4535120725631714,0.0057575334794819355,0.00034897090517915785,0.00014167219342198223,0.006248177494853735,,0.39308711886405945
,,0.001,204,,,,,,,
17,,,215,0.45264357328414917,0.005785843823105097,0.0005955400411039591,0.00011199551954632625,0.006493379361927509,,0.40686824917793274
,,0.001,216,,,,,,,
18,,,227,0.4519234895706177,0.005027964245527983,0.00124059256631881,0.0003714480553753674,0.006640004925429821,,0.4687514007091522
,,0.001,228,,,,,,,
19,,,239,0.45087602734565735,0.0038765857461839914,0.000506595300976187,0.0003115840663667768,0.00469476543366909,,0.4020257890224457
,,0.001,240,,,,,,,
20,,,251,0.4495742917060852,0.0034629034344106913,0.00020692583348136395,0.0002196735586039722,0.0038895022589713335,,0.3830735981464386
,,0.001,252,,,,,,,
21,,,263,0.4478609263896942,0.004900808911770582,7.990519952727482e-05,0.00020520860562101007,0.0051859235391020775,,0.39243942499160767
,,0.001,264,,,,,,,
22,,,275,0.4465291202068329,0.0629015788435936,4.9819373089121655e-05,0.002656591357663274,0.06560799479484558,,0.3823263943195343
,,0.001,276,,,,,,,
23,,,287,0.4453392028808594,0.014014873653650284,0.00025399401783943176,0.0004604375862982124,0.014729304239153862,,0.4133806526660919
,,0.001,288,,,,,,,
24,,,299,0.4446541965007782,0.004281706176698208,0.00029054246260784566,0.00020968671014998108,0.004781935829669237,,0.4069739282131195
,,0.001,300,,,,,,,
25,,,311,0.44343292713165283,0.0051856557838618755,4.382979386718944e-05,0.00011829949653474614,0.005347784608602524,,0.38919925689697266
,,0.001,312,,,,,,,
26,,,323,0.44181862473487854,0.006462776567786932,1.745980989653617e-05,5.5178294132929295e-05,0.006535414606332779,,0.4041176438331604
,,0.001,324,,,,,,,
27,,,335,0.44035881757736206,0.003963383845984936,1.2596916349139065e-05,0.0001472371513955295,0.0041232178919017315,,0.3875192105770111
,,0.001,336,,,,,,,
28,,,347,0.4381495714187622,0.0047835675068199635,2.4680757633177564e-05,0.00010959176870528609,0.0049178400076925755,,0.3613940179347992
,,0.001,348,,,,,,,
29,,,359,0.43693435192108154,0.03510799631476402,5.111159407533705e-05,0.0011359540512785316,0.03629506751894951,,0.36294159293174744
,,0.001,360,,,,,,,
30,,,371,0.43616363406181335,0.004680649843066931,6.133758870419115e-05,0.00017495178326498717,0.004916938953101635,,0.35494211316108704
,,0.001,372,,,,,,,
31,,,383,0.435048907995224,0.004226935561746359,1.3359203876461834e-05,0.0001065624674083665,0.004346857778728008,,0.35563573241233826
,,0.001,384,,,,,,,
32,,,395,0.4339279234409332,0.013356683775782585,2.9933955374872312e-05,0.000312689138809219,0.013699306175112724,,0.3881953954696655
,,0.001,396,,,,,,,
33,,,407,0.43322739005088806,0.006432389374822378,2.2464979338110425e-05,0.00030867141322232783,0.006763525772839785,,0.41873064637184143
,,0.001,408,,,,,,,
34,,,419,0.43244636058807373,0.00523131899535656,0.00014669248776044697,0.0002562723821029067,0.00563428457826376,,0.4254702925682068
,,0.001,420,,,,,,,
35,,,431,0.4306148290634155,0.00376680726185441,0.00010676897363737226,0.00021726865088567138,0.0040908451192080975,,0.41776522994041443
,,0.001,432,,,,,,,
36,,,443,0.4285983145236969,0.0046603442169725895,2.800550646497868e-05,0.00020022926037199795,0.004888578783720732,,0.4190814793109894
,,0.001,444,,,,,,,
37,,,455,0.4265485405921936,0.003133803140372038,1.3988970749778673e-05,0.00012764880375470966,0.0032754407729953527,,0.38713011145591736
,,0.001,456,,,,,,,
38,,,467,0.423850417137146,0.012748911045491695,2.2180091036716476e-05,0.000420117168687284,0.013191208243370056,,0.35861071944236755
,,0.001,468,,,,,,,
39,,,479,0.42218130826950073,0.003298994153738022,6.131408099463442e-06,0.0001228746259585023,0.003428000258281827,,0.3482975661754608
,,0.001,480,,,,,,,
40,,,491,0.42044490575790405,0.004262631293386221,3.869787633448141e-06,7.95552768977359e-05,0.004346056375652552,,0.34259265661239624
,,0.001,492,,,,,,,
41,,,503,0.4188227355480194,0.020329846069216728,1.7964715880225413e-05,0.00042878268868662417,0.020776592195034027,,0.31997111439704895
,,0.001,504,,,,,,,
42,,,515,0.41771799325942993,0.013864167034626007,4.66483470518142e-05,0.0003944319032598287,0.014305245131254196,,0.3578336536884308
,,0.001,516,,,,,,,
43,,,527,0.41707903146743774,0.05585552006959915,4.077859557582997e-05,0.0030621527694165707,0.05895845219492912,,0.37285929918289185
,,0.001,528,,,,,,,
44,,,539,0.41332507133483887,0.0047382148914039135,2.7770003725891e-05,0.0002039988321484998,0.004969984292984009,,0.40458884835243225
,,0.001,540,,,,,,,
45,,,551,0.41009509563446045,0.05270516127347946,1.1200249900866766e-05,0.0011165996547788382,0.05383295938372612,,0.6191892623901367
,,0.001,552,,,,,,,
46,,,563,0.4088650345802307,0.015688365325331688,2.1061714505776763e-05,0.0003656443441286683,0.016075069084763527,,0.41405996680259705
,,0.001,564,,,,,,,
47,,,575,0.40824946761131287,0.023414352908730507,0.00011911229375982657,0.0007048857514746487,0.024238351732492447,,0.4074443578720093
,,0.001,576,,,,,,,
48,,,587,0.40719684958457947,0.005386230535805225,0.0004801647155545652,0.00023909514129627496,0.006105490494519472,,0.39983227849006653
,,0.001,588,,,,,,,
49,,,599,0.40584611892700195,0.018191920593380928,0.00014556800306309015,0.0005613238317891955,0.01889881119132042,,0.42115432024002075
,,0.001,600,,,,,,,
50,,,611,0.4043913185596466,0.008010045625269413,9.026708721648902e-05,0.00034047424560412765,0.008440786972641945,0.018731242045760155,0.39344045519828796
,,0.001,612,,,,,,,
51,,,623,0.40234431624412537,0.0036695273593068123,0.00010969025606755167,0.00018117892614100128,0.003960396628826857,0.018435824662446976,0.41850805282592773
,,0.001,624,,,,,,,
52,,,635,0.3995772898197174,0.00472016679123044,5.566821710090153e-05,5.590824730461463e-05,0.0048317438922822475,0.01816374436020851,0.4194237291812897
,,0.001,636,,,,,,,
53,,,647,0.39713427424430847,0.0026157672982662916,8.837445784593001e-05,0.00010378070146543905,0.0028079221956431866,0.017856627702713013,0.3864229917526245
,,0.001,648,,,,,,,
54,,,659,0.3942621350288391,0.005039967130869627,1.2985389730602037e-05,0.0001698331325314939,0.005222784820944071,0.017603950574994087,0.3661183714866638
,,0.001,660,,,,,,,
55,,,671,0.39208877086639404,0.016556384041905403,1.0215550901193637e-05,0.0003564156941138208,0.01692301593720913,0.01759033091366291,0.38479697704315186
,,0.001,672,,,,,,,
56,,,683,0.3910438120365143,0.006966120563447475,1.3516246326616965e-05,0.00015759564121253788,0.007137232925742865,0.017381269484758377,0.3785587251186371
,,0.001,684,,,,,,,
57,,,695,0.3902014195919037,0.0066776941530406475,2.107673390128184e-05,0.00010132051102118567,0.0068000913597643375,0.017169645056128502,0.3895140588283539
,,0.001,696,,,,,,,
58,,,707,0.3886294662952423,0.003934070933610201,1.2029452591377776e-05,0.0001223165454575792,0.004068417474627495,0.016907621175050735,0.33485448360443115
,,0.001,708,,,,,,,
59,,,719,0.3863014578819275,0.00229076505638659,1.119346052291803e-05,6.932839460205287e-05,0.002371286740526557,0.01661689393222332,0.33161211013793945
,,0.001,720,,,,,,,
60,,,731,0.3842760920524597,0.0036697660107165575,5.488588612934109e-06,0.00011884194100275636,0.0037940966431051493,0.016360439360141754,0.3214380741119385
,,0.001,732,,,,,,,
61,,,743,0.38219210505485535,0.007220094092190266,3.0372004403034225e-05,0.00020468051661737263,0.007455147337168455,0.01618233323097229,0.31944334506988525
,,0.001,744,,,,,,,
62,,,755,0.3808690011501312,0.004124125931411982,1.1673232620523777e-05,0.00012309309386182576,0.00425889203324914,0.0159438643604517,0.3031626343727112
,,0.001,756,,,,,,,
63,,,767,0.3801254332065582,0.003153247758746147,1.6316638721036725e-05,5.768303890363313e-05,0.0032272469252347946,0.015689531341195107,0.31267249584198
,,0.001,768,,,,,,,
64,,,779,0.3791833519935608,0.013998732902109623,2.7141149985254742e-05,0.0005226415232755244,0.01454851496964693,0.015666712075471878,0.5092829465866089
,,0.001,780,,,,,,,
65,,,791,0.37825635075569153,0.014981542713940144,4.00436510972213e-05,0.00033005120349116623,0.01535163726657629,0.01566041074693203,0.403251051902771
,,0.001,792,,,,,,,
