epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma,val/si_re
,,0.001,0,,,,,,,
0,,,60,0.4827640652656555,0.017388079315423965,0.06728526949882507,0.012873882427811623,0.097547248005867,,0.556138277053833
,,0.001,61,,,,,,,
1,,,121,0.4677119553089142,0.008347099646925926,5.095319284009747e-05,0.00011109284241683781,0.008509144186973572,,0.4963819980621338
,,0.001,122,,,,,,,
2,,,182,0.46380335092544556,0.008726019412279129,4.469629129744135e-05,0.00014059730165172368,0.008911313489079475,,0.45264139771461487
,,0.001,183,,,,,,,
3,,,243,0.458232581615448,0.0054894182831048965,3.7341698771342635e-05,4.507405901676975e-05,0.005571834277361631,,0.4906957745552063
,,0.001,244,,,,,,,
4,,,304,0.45278534293174744,0.00692788464948535,3.282766556367278e-05,6.542771006934345e-05,0.007026140112429857,,0.4098319709300995
,,0.001,305,,,,,,,
5,,,365,0.45032960176467896,0.004786788485944271,2.1188294340390712e-05,1.6483621948282234e-05,0.0048244609497487545,,0.46713003516197205
,,0.001,366,,,,,,,
6,,,426,0.44725239276885986,0.005662811920046806,1.8968223230331205e-05,2.5718778488226235e-05,0.005707498174160719,,0.3668917417526245
,,0.001,427,,,,,,,
7,,,487,0.4431963562965393,0.006272472906857729,1.4797760741203092e-05,3.185361492796801e-05,0.006319126579910517,,0.3839884102344513
,,0.001,488,,,,,,,
8,,,548,0.43910616636276245,0.005298931617289782,1.1123582225991413e-05,1.8088649085257202e-05,0.005328143946826458,,0.3621610105037689
,,0.001,549,,,,,,,
9,,,609,0.4356476366519928,0.006284378468990326,9.60342640610179e-06,1.6960348148131743e-05,0.006310942117124796,,0.3319351375102997
,,0.001,610,,,,,,,
10,,,670,0.4323645234107971,0.006166484672576189,7.649598046555184e-06,1.5928893844829872e-05,0.006190064363181591,,0.3382169008255005
,,0.001,671,,,,,,,
11,,,731,0.42850255966186523,0.006049343850463629,6.564219802385196e-06,2.2831283786217682e-05,0.006078739184886217,,0.3307095766067505
,,0.001,732,,,,,,,
12,,,792,0.42465493083000183,0.0057595050893723965,6.972107257752214e-06,1.85466960829217e-05,0.005785023327916861,,0.3797800838947296
,,0.001,793,,,,,,,
13,,,853,0.4212162494659424,0.005320295225828886,4.569307293422753e-06,1.2448606867110357e-05,0.005337314680218697,,0.3143986463546753
,,0.001,854,,,,,,,
