epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma,val/si_re
,,0.001,0,,,,,,,
0,,,60,0.47087764739990234,0.012704258784651756,0.12458141893148422,0.006382595282047987,0.1436682790517807,,0.6230064630508423
,,0.001,61,,,,,,,
1,,,121,0.42037761211395264,0.00613578874617815,0.005524797830730677,0.00029722636099904776,0.011957813985645771,,0.4881399869918823
,,0.001,122,,,,,,,
2,,,182,0.40615400671958923,0.005889545194804668,0.0005992508959025145,4.8083533329190686e-05,0.006536878179758787,,0.424987256526947
,,0.001,183,,,,,,,
3,,,243,0.4007953405380249,0.005852880887687206,0.0003120962646789849,2.518416295060888e-05,0.006190162617713213,,0.40238940715789795
,,0.001,244,,,,,,,
4,,,304,0.39645087718963623,0.006752976682037115,0.0002064068685285747,2.2882353732711636e-05,0.0069822645746171474,,0.3924490213394165
,,0.001,305,,,,,,,
5,,,365,0.3925935626029968,0.00528910756111145,0.00014902555267326534,1.519460874987999e-05,0.005453328136354685,,0.3822563886642456
,,0.001,366,,,,,,,
6,,,426,0.38892295956611633,0.005684897769242525,0.00011355386232025921,1.2171812159067485e-05,0.005810622591525316,,0.42903465032577515
,,0.001,427,,,,,,,
7,,,487,0.3856867551803589,0.005250799469649792,8.84755136212334e-05,1.3832207514496986e-05,0.005353107582777739,,0.3706803321838379
,,0.001,488,,,,,,,
8,,,548,0.3826013505458832,0.006676468066871166,7.170287426561117e-05,9.79329433903331e-06,0.006757963914424181,,0.41461867094039917
,,0.001,549,,,,,,,
9,,,609,0.3797040581703186,0.0048579066060483456,5.8597481256583706e-05,1.2611081729119178e-05,0.004929115064442158,,0.38026687502861023
,,0.001,610,,,,,,,
10,,,670,0.3769252598285675,0.005266645923256874,5.282015627017245e-05,9.412254257767927e-06,0.005328877829015255,,0.38178640604019165
,,0.001,671,,,,,,,
11,,,731,0.37373098731040955,0.005078342277556658,4.548401921056211e-05,8.539021109754685e-06,0.005132365971803665,,0.41407644748687744
,,0.001,732,,,,,,,
12,,,792,0.3710925579071045,0.006881705950945616,3.895179906976409e-05,7.022766567388317e-06,0.006927681155502796,,0.37731629610061646
,,0.001,793,,,,,,,
13,,,853,0.36792534589767456,0.0036086244508624077,3.495722558000125e-05,8.438216354988981e-06,0.0036520203575491905,,0.39514896273612976
,,0.001,854,,,,,,,
14,,,914,0.3651174008846283,0.005838858429342508,3.0319346478790976e-05,5.548201897909166e-06,0.005874726455658674,,0.381156861782074
,,0.001,915,,,,,,,
15,,,975,0.3623126745223999,0.0058620949275791645,2.770917853922583e-05,1.1444680239947047e-05,0.005901249125599861,,0.5295630693435669
,,0.001,976,,,,,,,
