,L_pde,L_ic,L_data,L_total
510,1.644565e-06,2.165314e-08,1.635548e-05,1.802170e-05
511,9.581721e-07,2.501707e-08,4.771135e-06,5.754324e-06
512,2.652687e-07,7.961804e-08,9.068265e-07,1.251713e-06
513,2.113974e-07,1.015321e-08,5.782549e-07,7.998055e-07
514,2.343364e-07,1.681966e-07,1.387655e-05,1.427908e-05
515,2.084796e-07,5.279643e-08,1.429724e-06,1.691000e-06
516,3.273263e-07,4.285075e-08,2.250249e-06,2.620426e-06
517,1.815193e-07,6.290698e-07,2.940830e-06,3.751420e-06
518,1.681870e-07,3.747789e-09,6.290026e-07,8.009374e-07
519,2.280400e-07,4.218710e-08,1.691759e-06,1.961987e-06
520,1.028354e-06,2.017266e-07,9.858221e-07,2.215902e-06
521,1.701305e-07,1.396738e-07,6.401411e-06,6.711216e-06
522,4.485207e-07,1.011294e-07,5.777863e-06,6.327513e-06
523,2.717478e-07,1.094496e-08,4.634889e-06,4.917582e-06
524,2.793604e-07,2.077754e-07,3.787899e-06,4.275035e-06
525,2.311266e-07,1.188686e-08,1.799743e-06,2.042756e-06
526,1.979454e-07,3.980283e-07,1.515927e-06,2.111901e-06
527,1.498917e-07,8.020973e-09,4.619347e-07,6.198475e-07
528,4.974482e-07,1.664993e-09,3.392489e-07,8.383621e-07
529,1.513999e-07,5.697265e-08,4.439330e-07,6.523056e-07
530,1.423711e-07,4.497774e-09,7.518165e-07,8.986854e-07
531,5.035129e-07,3.994209e-08,4.033917e-05,4.088263e-05
532,1.977454e-06,1.125839e-08,2.591450e-05,2.790321e-05
533,7.197690e-07,2.450792e-08,3.904153e-05,3.978581e-05
534,1.255245e-05,1.219011e-05,2.245522e-03,2.270264e-03
535,4.940798e-06,1.635007e-07,2.877557e-04,2.928600e-04
536,1.729181e-06,3.516268e-08,5.652496e-05,5.828931e-05
537,8.915003e-07,2.672989e-08,3.601271e-05,3.693094e-05
538,6.482515e-07,5.949563e-09,1.643691e-05,1.709111e-05
539,3.020601e-07,2.198029e-08,3.226484e-06,3.550524e-06
540,3.110990e-07,5.785282e-07,1.556635e-06,2.446262e-06
