,beta
319,3.573467e-01
320,3.552458e-01
321,3.535661e-01
322,3.542216e-01
323,3.533024e-01
324,3.543614e-01
325,3.549201e-01
326,3.558948e-01
327,3.572259e-01
328,3.579413e-01
329,3.592364e-01
330,3.602134e-01
331,3.613950e-01
332,3.625804e-01
333,3.628725e-01
334,3.634743e-01
335,3.636596e-01
336,3.646163e-01
337,3.653934e-01
338,3.663675e-01
339,3.678408e-01
340,3.677770e-01
341,3.682743e-01
342,3.691620e-01
343,3.696340e-01
344,3.707250e-01
345,3.707055e-01
346,3.724868e-01
347,3.730455e-01
348,3.736178e-01
349,3.743594e-01
350,3.751116e-01
351,3.758070e-01
352,3.764638e-01
353,3.764709e-01
354,3.771615e-01
355,3.779114e-01
356,3.779492e-01
357,3.782827e-01
358,3.776264e-01
359,3.748051e-01
360,3.705007e-01
361,3.710126e-01
362,3.711009e-01
363,3.707452e-01
364,3.709375e-01
365,3.678828e-01
366,3.664064e-01
367,3.668358e-01
368,3.677247e-01
369,3.657774e-01
370,3.648558e-01
371,3.649991e-01
372,3.655214e-01
373,3.655997e-01
374,3.668065e-01
375,3.681635e-01
376,3.690168e-01
377,3.697283e-01
378,3.708292e-01
379,3.718702e-01
380,3.720482e-01
381,3.730121e-01
382,3.741238e-01
383,3.744294e-01
384,3.746210e-01
385,3.758617e-01
386,3.760114e-01
387,3.769406e-01
388,3.774711e-01
389,3.776618e-01
390,3.774150e-01
391,3.775677e-01
392,3.786831e-01
393,3.791959e-01
394,3.802338e-01
395,3.817094e-01
396,3.827651e-01
397,3.844644e-01
398,3.855555e-01
399,3.865203e-01
400,3.876776e-01
401,3.891621e-01
402,3.906648e-01
403,3.915690e-01
404,3.930333e-01
405,3.939621e-01
406,3.953280e-01
407,3.957322e-01
408,3.946556e-01
409,3.959609e-01
410,3.914059e-01
411,3.915514e-01
412,3.888433e-01
413,3.864732e-01
414,3.812380e-01
415,3.786574e-01
416,3.734008e-01
417,3.732072e-01
418,3.694357e-01
419,3.680561e-01
420,3.689632e-01
421,3.696021e-01
422,3.707461e-01
423,3.719657e-01
424,3.734307e-01
425,3.753776e-01
426,3.772401e-01
427,3.796057e-01
428,3.817602e-01
429,3.839935e-01
430,3.860064e-01
431,3.881549e-01
432,3.904945e-01
433,3.927791e-01
434,3.947718e-01
435,3.970371e-01
436,3.989903e-01
437,4.013609e-01
438,4.036985e-01
439,4.056749e-01
440,4.079782e-01
441,4.099350e-01
442,4.115497e-01
443,4.135517e-01
444,4.148670e-01
445,4.155537e-01
446,4.171083e-01
447,4.189937e-01
448,4.203744e-01
449,4.211604e-01
450,4.220441e-01
451,4.217408e-01
452,4.190987e-01
453,4.191068e-01
454,4.196147e-01
455,4.187015e-01
456,4.181229e-01
457,4.184968e-01
458,4.197790e-01
459,4.209207e-01
460,4.219307e-01
461,4.235304e-01
462,4.252664e-01
463,4.267582e-01
464,4.284974e-01
465,4.303721e-01
466,4.320216e-01
467,4.338541e-01
468,4.357176e-01
469,4.375807e-01
470,4.395057e-01
471,4.416503e-01
472,4.435999e-01
473,4.456909e-01
474,4.476792e-01
475,4.494574e-01
476,4.511914e-01
477,4.531510e-01
478,4.550177e-01
479,4.565098e-01
480,4.580084e-01
481,4.600820e-01
482,4.616656e-01
483,4.634123e-01
484,4.651866e-01
485,4.662945e-01
486,4.681486e-01
487,4.700296e-01
488,4.719016e-01
489,4.732375e-01
490,4.749949e-01
491,4.767782e-01
492,4.782440e-01
493,4.800758e-01
494,4.817451e-01
495,4.834611e-01
496,4.850374e-01
497,4.866624e-01
498,4.882071e-01
499,4.895503e-01
500,4.909772e-01
501,4.888004e-01
502,4.878042e-01
503,4.874191e-01
504,4.870859e-01
505,4.875053e-01
506,4.877312e-01
507,4.877961e-01
508,4.878663e-01
509,4.878990e-01
510,4.871281e-01
511,4.881991e-01
512,4.869797e-01
513,4.860788e-01
514,4.858511e-01
515,4.839288e-01
516,4.835555e-01
517,4.785179e-01
518,4.766482e-01
519,4.755958e-01
520,4.727591e-01
521,4.711054e-01
522,4.706630e-01
523,4.706469e-01
524,4.710871e-01
525,4.717456e-01
526,4.725237e-01
527,4.738341e-01
528,4.752744e-01
529,4.769150e-01
530,4.785239e-01
531,4.801677e-01
532,4.817463e-01
533,4.822905e-01
534,4.830505e-01
535,4.807784e-01
536,4.792500e-01
537,4.775652e-01
538,4.762639e-01
539,4.766762e-01
540,4.766547e-01
541,4.767426e-01
542,4.764442e-01
543,4.754580e-01
544,4.744646e-01
545,4.737254e-01
546,4.727908e-01
547,4.716435e-01
548,4.698338e-01
549,4.683948e-01
550,4.677086e-01
551,4.680955e-01
552,4.686573e-01
553,4.696915e-01
554,4.704058e-01
555,4.706706e-01
556,4.713629e-01
557,4.713036e-01
558,4.708252e-01
559,4.710718e-01
560,4.711254e-01
561,4.706896e-01
562,4.693898e-01
563,4.684836e-01
564,4.682897e-01
565,4.632423e-01
566,4.636512e-01
567,4.575594e-01
568,4.571236e-01
569,4.537626e-01
570,4.523882e-01
571,4.496595e-01
572,4.463025e-01
573,4.435949e-01
574,4.420810e-01
575,4.392722e-01
576,4.373634e-01
577,4.338174e-01
578,4.300618e-01
579,4.287514e-01
580,4.277371e-01
581,4.233549e-01
582,4.208157e-01
583,4.197850e-01
584,4.199765e-01
585,4.208634e-01
586,4.224666e-01
587,4.243670e-01
588,4.264079e-01
589,4.284931e-01
590,4.307401e-01
591,4.328744e-01
592,4.347906e-01
593,4.369042e-01
594,4.389138e-01
595,4.408906e-01
596,4.430279e-01
597,4.449148e-01
598,4.468450e-01
599,4.489551e-01
600,4.508533e-01
601,4.529789e-01
602,4.547603e-01
603,4.564589e-01
604,4.583768e-01
605,4.602521e-01
606,4.616713e-01
607,4.633356e-01
608,4.647929e-01
609,4.663275e-01
610,4.681161e-01
611,4.698591e-01
