epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma,val/si_re
,,0.001,0,,,,,,,
0,,,60,0.4721904695034027,0.01759401708841324,0.06180114299058914,0.008051203563809395,0.08744636178016663,,0.5125387907028198
,,0.001,61,,,,,,,
1,,,121,0.45000436902046204,0.008226530626416206,3.482482861727476e-05,0.0001558534859213978,0.008417208679020405,,0.46877703070640564
,,0.001,122,,,,,,,
2,,,182,0.4442462623119354,0.007073999848216772,3.4020857128780335e-05,8.76922276802361e-05,0.00719571253284812,,0.4889112412929535
,,0.001,183,,,,,,,
3,,,243,0.43811705708503723,0.006041890475898981,3.3487121982034296e-05,3.08998569380492e-05,0.006106276996433735,,0.5948725938796997
,,0.001,244,,,,,,,
4,,,304,0.43371444940567017,0.008009057492017746,2.879433668567799e-05,6.747259612893686e-05,0.00810532458126545,,0.39163607358932495
,,0.001,305,,,,,,,
5,,,365,0.4300408363342285,0.005801029037684202,2.5188599465764128e-05,2.3472224711440504e-05,0.005849689710885286,,0.35511454939842224
,,0.001,366,,,,,,,
6,,,426,0.42467525601387024,0.005405520088970661,1.783648804121185e-05,2.5102415747824125e-05,0.005448457784950733,,0.42478105425834656
,,0.001,427,,,,,,,
7,,,487,0.4191734194755554,0.006325046066194773,1.3086122635286301e-05,2.7845544536830857e-05,0.006365977693349123,,0.3375515341758728
,,0.001,488,,,,,,,
8,,,548,0.41359731554985046,0.005056953057646751,1.0539713912294246e-05,1.4375843420566525e-05,0.005081869196146727,,0.32003065943717957
,,0.001,549,,,,,,,
9,,,609,0.4096527397632599,0.0047798166051507,7.620549695275258e-06,1.3407304322754499e-05,0.0048008449375629425,,0.3271596133708954
,,0.001,610,,,,,,,
10,,,670,0.4053080976009369,0.004695490468293428,6.353763637889642e-06,1.5990146494004875e-05,0.004717834293842316,,0.5263053178787231
,,0.001,671,,,,,,,
11,,,731,0.40071380138397217,0.005897702183574438,5.4203305808187e-06,2.0253150069038384e-05,0.00592337641865015,,0.7052838802337646
,,0.001,732,,,,,,,
12,,,792,0.39568784832954407,0.006310291588306427,7.2162797550845426e-06,2.2377344066626392e-05,0.006339884828776121,,0.3390181362628937
,,0.001,793,,,,,,,
13,,,853,0.39006349444389343,0.00552317313849926,4.520575657807058e-06,1.045660155796213e-05,0.005538151133805513,,0.3512331545352936
,,0.001,854,,,,,,,
14,,,914,0.38417309522628784,0.0059942686930298805,3.645119249995332e-06,1.869091283879243e-05,0.006016605067998171,,0.3642542362213135
,,0.001,915,,,,,,,
15,,,975,0.378662109375,0.00577051704749465,2.945131200249307e-06,1.0044124792329967e-05,0.005783505737781525,,0.3998461365699768
,,0.001,976,,,,,,,
16,,,1036,0.37430793046951294,0.004304122645407915,2.4202313397836406e-06,4.726312454295112e-06,0.004311269614845514,,0.41254210472106934
,,0.001,1037,,,,,,,
17,,,1097,0.3692510426044464,0.005562813952565193,2.281456545460969e-06,1.0275971362716518e-05,0.005575371440500021,,0.4554625153541565
,,0.001,1098,,,,,,,
18,,,1158,0.36494824290275574,0.005028091836720705,2.009235686273314e-06,6.228742677194532e-06,0.005036329384893179,,0.3329002857208252
,,0.001,1159,,,,,,,
19,,,1219,0.36010923981666565,0.004213101230561733,1.7384721786584123e-06,6.039331765350653e-06,0.00422087823972106,,0.43699032068252563
,,0.001,1220,,,,,,,
20,,,1280,0.35661953687667847,0.004282527137547731,2.3786974452377763e-06,4.797578640136635e-06,0.004289703909307718,,0.36895281076431274
,,0.001,1281,,,,,,,
21,,,1341,0.3516841530799866,0.006192495580762625,4.437603820406366e-06,8.866746611602139e-06,0.006205797661095858,,0.4689614176750183
,,0.001,1342,,,,,,,
22,,,1402,0.34741225838661194,0.004693557508289814,1.6176431927306112e-06,6.15628187006223e-06,0.004701330792158842,,0.35643908381462097
,,0.001,1403,,,,,,,
23,,,1463,0.3417590260505676,0.004435562528669834,1.7556772036186885e-06,9.972777661459986e-06,0.004447291139513254,,0.3543875813484192
,,0.001,1464,,,,,,,
24,,,1524,0.33640986680984497,0.00469265365973115,2.0910433704557363e-06,8.62791966937948e-06,0.004703372251242399,,0.325337678194046
,,0.001,1525,,,,,,,
25,,,1585,0.33095550537109375,0.00428948225453496,3.988929620390991e-06,8.97411064215703e-06,0.004302445333451033,,0.5055919289588928
,,0.001,1586,,,,,,,
26,,,1646,0.32448115944862366,0.0036043934524059296,2.9260343580972403e-05,1.8468241250957362e-05,0.0036521221045404673,,0.4144856929779053
,,0.001,1647,,,,,,,
27,,,1707,0.3148532807826996,0.003857201198115945,1.9534927560016513e-05,2.6340116164647043e-05,0.0039030753541737795,,0.34975114464759827
,,0.001,1708,,,,,,,
28,,,1768,0.3031446039676666,0.0021058248821645975,2.6168518161284737e-05,5.923705975874327e-05,0.0021912308875471354,,0.3667442798614502
,,0.001,1769,,,,,,,
29,,,1829,0.28857651352882385,0.002077349927276373,5.170015356270596e-06,3.2333467970602214e-05,0.0021148540545254946,,0.30819204449653625
,,0.001,1830,,,,,,,
30,,,1890,0.2766973376274109,0.002088625682517886,6.82510790284141e-06,4.07450097554829e-05,0.0021361957769840956,,0.3441169559955597
,,0.001,1891,,,,,,,
31,,,1951,0.2690381705760956,0.002173344139009714,1.0515741450944915e-05,5.794522803626023e-05,0.002241805661469698,,0.3622596263885498
,,0.001,1952,,,,,,,
32,,,2012,0.26142796874046326,0.0018701356602832675,5.7422497775405645e-05,6.161407509353012e-05,0.001989171840250492,,0.3553873896598816
,,0.001,2013,,,,,,,
